area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
Village,Rural,Sonnanayakanapura,5545,613298,0,277,1240,542,698,580
Village,Rural,Adur,5545,613299,0,150,717,257,460,474
Village,Rural,Thimmasandra,5545,613300,0,41,194,101,93,111
Village,Rural,Chikkanahalli,5545,613301,0,64,293,176,117,147
Village,Rural,Indlawadi,5545,613302,0,439,1933,740,1193,1186
Village,Rural,Bagganadoddi,5545,613303,0,93,386,212,174,171
Village,Rural,Indlawadipura,5545,613304,0,129,630,284,346,356
Village,Rural,Thammanaikanahalli,5545,613305,0,549,2527,1201,1326,1277
Village,Rural,Chikka Hosahalli,5545,613306,0,280,1367,634,733,859
Village,Rural,Agasa Thimmanahalli,5545,613307,0,5,22,13,9,15
Village,Rural,A Medihalli,5545,613308,0,105,451,247,204,307
Village,Rural,Gowrenahalli,5545,613309,0,450,2226,951,1275,1169
Village,Rural,Honnakalasapura,5545,613310,0,105,494,241,253,265
Village,Rural,Sidihosakote,5545,613311,0,331,1591,923,668,1044
Village,Rural,Kempavaderahalli,5545,613312,0,62,287,123,164,158
Village,Rural,Dodda Hagade,5545,613313,0,219,898,394,504,527
Village,Rural,Kunmadivala,5545,613314,0,103,480,215,265,259
Village,Rural,Byagadadenahalli,5545,613315,0,272,1435,1028,407,1155
Village,Rural,Marasur,5545,613316,0,770,3034,1578,1456,2170
Village,Rural,Naganaikanahalli,5545,613317,0,311,1272,575,697,843
Village,Rural,Madivala,5545,613318,0,634,2792,1072,1720,1846
Village,Rural,Bandapura,5545,613319,0,207,853,416,437,576
Village,Rural,Marasur Agrahara,5545,613320,0,30,136,54,82,100
Village,Rural,Thattanahalli,5545,613321,0,220,923,496,427,590
Village,Rural,Avadadenahalli,5545,613322,0,148,680,292,388,398
Village,Rural,Kammasandra Agrahara,5545,613323,0,153,664,389,275,343
Village,Rural,Amani Doddakere,5545,613324,0,8,32,21,11,19
Village,Rural,Hasaruvani,5545,613325,0,4,17,11,6,10
Village,Rural,Anekal (Rural),5545,613326,0,370,1575,696,879,916
